OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
549,Vesper Malta Boathouse,East Fairmount Park,East Fairmount Park,9 JOHN B KELLY DR,Building,Boathouse,Historic Building,7968.78249293,0.18293881,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Malta Boat Club, Vesper Boat Club, land lease only",Vesper Malta Boathouse
550,Upenn Boat Club,East Fairmount Park,East Fairmount Park,11 JOHN B KELLY DR,Building,Boathouse,Historic Building,8738.70455959,0.20061385,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"The College Boat Club of the Univ of Penn, land",Upenn Boat Club
551,Boathouse#13 Boat Shed,East Fairmount Park,East Fairmount Park,13 JOHN B KELLY DR,Building,Shed,,358.36689137,0.008227,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"UNDINE, land lease only",
552,Penn Athletic Club Rowing Association,East Fairmount Park,East Fairmount Park,12 JOHN B KELLY DR,Building,Boathouse,Historic Building,4797.83812966,0.11014365,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Penn Athletic Club Rowing Association, land lease",Penn Athletic Club Rowing
553,Undine Barge Club,East Fairmount Park,East Fairmount Park,13 JOHN B KELLY DR,Building,Boathouse,Historic Building,4028.06875438,0.0924721,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"UNDINE, land lease only",Undine Barge Club
554,Philadelphia Girls Rowing club,East Fairmount Park,East Fairmount Park,14 JOHN B KELLY DR,Building,Boathouse,Historic Building,2926.02932173,0.06717266,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Philadelphia Girl's Rowing Club, land lease only",Phila Girls Rowing club
555,Sedgeley Boat Club,East Fairmount Park,East Fairmount Park,15 JOHN B KELLY DR,Building,Boathouse,Historic Building,2630.24965183,0.06038246,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Sedgeley Club, Inc.",Sedgeley Boat Club
556,Kelly Drive Overlook,Lemon Hill,East Fairmount Park, ,Building,Stage\Stands,Historic Building,374.50871367,0.00859757,19130, , ,,12Nov2013,Vanessa Miller,PPR,,Kelly Drive Overlook
557,Lemon Hill Mansion,Lemon Hill,East Fairmount Park,801 LEMON HILL DR,Building,Historic House,Historic Building,2855.30353637,0.06554901,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Colonial Dames of America, Chapter II",Lemon Hill
558,Lemon Hill Building,Lemon Hill,East Fairmount Park,801 LEMON HILL DR,Building,Historic House,Historic Building,243.41281502,0.00558801,19130, , ,,12Nov2013,Vanessa Miller,PPR,,Lemon Hill 
559,Lemon Hill Restrooms Building,Lemon Hill,East Fairmount Park,801 LEMON HILL DR,Building,Restrooms,Historic Building,985.19227656,0.02261699,19130, , ,,12Nov2013,Vanessa Miller,PPR,,Lemon Hill
560,Rose Playground Building,Rose Playground,Cobbs Creek Park,7401 LANSDOWNE AVE,Building,Recreation Bldg,,3167.43272754,0.07271454,19151, , ,,12Nov2013,Vanessa Miller,PPR,,Rose  
561,Cobbs Creek Driving Range Pitching Machine Shelter,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY LINE AVE,Building,Pavilion\Shelter,,961.95461119,0.02208353,19151, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
562,Cobbs Creek Driving Range Concessionaire,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY LINE AVE,Building,Concessions\Retail\Cafe,,4498.72084036,0.10327683,19151, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
563,Cobbs Creek Batting Cage Shelter,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY LINE AVE,Building,Batting Cage,,176.75593661,0.00405777,19151, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
564,Papa Playground Building,Papa Playground,Cobbs Creek Park,6839 LANSDOWNE AVE,Building,Recreation Bldg,,3726.85897722,0.08555725,19151, , ,,12Nov2013,Vanessa Miller,PPR,,Papa  
565,Fishtown Hockey Rink Building,Fishtown Recreation Center,Fishtown Recreation Center,1202-32 E MONTGOMERY AVE,Building,Athletic,Multi-Use Bldg,9186.435402,0.21089238,19125,Lederer Recreation Center, ,,12Nov2013,Vanessa Miller,PPR,,Fishtown Hockey Rink 
566,Fishtown Playground Building,Fishtown Recreation Center,Fishtown Recreation Center,1202-32 E MONTGOMERY AVE,Building,Recreation Bldg,,12034.20238456,0.27626838,19125,Lederer Recreation Center, ,,12Nov2013,Vanessa Miller,PPR,,Fishtown  
567,Hancock/St John's Playground Building,Hancock Playground,Hancock Playground,147 MASTER ST,Building,Recreation Bldg,,1950.09789411,0.04476827,19122, , ,,12Nov2013,Vanessa Miller,PPR,,Hancock/St John's  
568,Cruz Playground Building,Cruz Recreation Center,Cruz Recreation Center,1400-52 N 05TH ST,Building,Recreation Bldg,,11488.96067683,0.2637513,19122, , ,,12Nov2013,Vanessa Miller,PPR,,Cruz  
569,Cobbs Creek Golf Course Snack Shed,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7800 CITY LINE AVE,Building,Concessions\Retail\Cafe,Golf Course,422.1922548,0.00969224,19151, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
570,Sedgeley Porter's House,East Fairmount Park,East Fairmount Park,3250 W SEDGELEY DR,Building,Historic House,Historic Building,1825.15081276,0.04189986,19130, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Sedgeley Porter's House
571,Conestoga Community Playground Building,Conestoga Playground,Conestoga Playground,5200-300 MEDIA ST,Building,Recreation Bldg,,1636.45185026,0.03756792,19131, , ,,12Nov2013,Vanessa Miller,PPR,,Conestoga
572,Letitia Street House,West Fairmount Park,West Fairmount Park,3400 W GIRARD AVE,Building,Historic House,Historic Building,711.25974572,0.01632834,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,PR vacant,Letitia Street House
573,Hatfield House,East Fairmount Park,East Fairmount Park,3201 W GIRARD AVE,Building,Historic House,Historic Building,1788.99087567,0.04106974,19121, , ,,19Dec2012,Vanessa Miller,Lessee/Tenants,Father's Day Rally Committee,Hatfield House
574,Sweetbriar Mansion,West Fairmount Park,West Fairmount Park,3801 SWEETBRIAR LA,Building,Historic House,Historic Building,2270.18658042,0.05211652,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Modern Club of Philadelphia,Sweetbriar Mansion
575,Marie Dendy Playground Building,Dendy Recreation Center,Dendy Recreation Center,1501-39 N 10TH ST,Building,Recreation Bldg,,2856.0120252,0.06556528,19122, , ,,12Nov2013,Vanessa Miller,PPR,,Marie Dendy  
576,Case Building,West Fairmount Park,West Fairmount Park,4400 S CONCOURSE DR,Building,Historic House,Historic Building,4133.40740736,0.09489036,19131,CASE Building (Golden Age), ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FP Staff,Case 
577,Carousel House Recreation Center Building,Carousel House,West Fairmount Park,1601 BELMONT AVE,Building,Recreation Bldg,,25726.79603205,0.59060833,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
578,Cedar Grove,West Fairmount Park,West Fairmount Park,4001 LANSDOWNE DR,Building,Historic House,Historic Building,2551.12941006,0.05856611,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Cedar Grove
579,Shissler Recreation Center Building,Shissler Recreation Center,Shissler Recreation Center,1800-56 BLAIR ST,Building,Recreation Bldg,,13249.55506711,0.30416915,19125, , ,,12Nov2013,Vanessa Miller,PPR,,
580,Cliffs House Ruins,East Fairmount Park,East Fairmount Park,3400 RESERVOIR DR,Building,Historic House,Historic Structure,751.55063523,0.0172533,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Cliffs House Ruins
581,Memorial Hall,Memorial Area,West Fairmount Park,4231 N CONCOURSE DR,Building,Museum,Historic Building,75313.54473947,1.728968,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Please Touch Museum,Memorial Hall
582,East Park Driving Range Garage Building,33rd & Oxford Driving Range,East Fairmount Park, ,Building,Garage\Maintenance\Storage Bldg,Golf Driving Range,889.49622642,0.02042011,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Driving Range Garage 
583,Towey Recreation Center Building,Towey Playground,Towey Playground,1832-50 N HOWARD ST,Building,Recreation Bldg,,9159.5392985,0.21027493,19122, , ,,12Nov2013,Vanessa Miller,PPR,,
584,Tugboat House at Belmont Landing,West Fairmount Park,West Fairmount Park,1399 WEST RIVER DR,Building,Historic House,Historic Building,1314.57661921,0.03017865,19131,Tugboat House, ,,19Dec2012,Vanessa Miller,Lessee/Tenants,"Phila Rowing Program for the Disabled, Inc.",
585,East Park Driving Range Toilet Building,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Building,Garage\Maintenance\Storage Bldg,Golf Driving Range,200.90886308,0.00461225,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Driving Range Toilet 
586,Tustin Playground Building,Tustin Playground,Tustin Playground,5901-29 W COLUMBIA AVE,Building,Recreation Bldg,,3345.39429986,0.07679999,19151, , ,,12Nov2013,Vanessa Miller,PPR,,
587,East Park Driving Range Office Building,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Building,Multi-Use Bldg,Golf Driving Range,1810.74314727,0.04156911,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Driving Range Office 
588,Japanese House Tool Shed,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Shed,Historic Building,147.70946504,0.00339096,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,
589,Japanese House and Garden,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Historic House,Historic Building,3693.68336223,0.08479564,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,Shofuso
590,Japanese House Ticket Window,Japanese Gardens,West Fairmount Park,4301 LANSDOWNE DR,Building,Concessions\Retail\Cafe,Historic Building,230.75660748,0.00529746,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Friends of the Japanese House and Garden,
591,Martin Luther King Recreation Center Building,Martin Luther King Recreation Center,Martin Luther King Recreation Center,2101-35 CECIL B MOORE AVE,Building,Recreation Bldg,,25629.95521534,0.58838516,19121, , ,,12Nov2013,Vanessa Miller,PPR,,King  
592,Parkside-Evans Recreation Center Building,Parkside-Evans Recreation Center,West Fairmount Park,5301 PARKSIDE AVE,Building,Recreation Bldg,,1912.81349716,0.04391233,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
593,Smith Memorial Playground Building,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Building,Recreation Bldg,Historic Building,5692.77724379,0.13068871,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Smith
594,Smith Memorial Playhouse Pool Building,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Building,Garage\Maintenance\Storage Bldg,,124.3105904,0.00285379,19121, , ,,12Nov2013,Vanessa Miller,PPR,,
595,Guard Box @ Sherwood and 66th,Cobbs Creek Park,Cobbs Creek Park,6601 SHERWOOD RD,Building,Multi-Use Bldg,Historic Building,124.70241337,0.00286278,19151, , ,,12Nov2013,Vanessa Miller,PPR,,
596,Amos Playground Building,Amos Playground,Amos Playground,1817-59 N 16TH ST,Building,Recreation Bldg,,7466.08854973,0.17139849,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Amos
597,Horticultural Center former Restroom,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Restrooms,,434.94281135,0.00998495,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
598,Horticultural Center former Restroom,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Restrooms,,449.5690677,0.01032073,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
599,Mann Music Center Auxiliary Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Garage\Maintenance\Storage Bldg,,3359.38521913,0.07712118,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
600,Mann Music Center,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Stage\Stands,Performance Venue,50890.92185708,1.16829948,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",Mann Music Center
601,Mount Pleasant South Necessary,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,154.83291836,0.00355449,19121, , ,,19Dec2012,Vanessa Miller,PPR,,
602,Cione Playground Building,Cione Playground,Cione Playground,2600 ARAMINGO AVE,Building,Recreation Bldg,,4855.39944445,0.11146508,19125, , ,,12Nov2013,Vanessa Miller,PPR,,Cione  
603,Mount Pleasant South Dependency,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,578.70796908,0.01328536,19121, , ,,19Dec2012,Vanessa Miller,PPR,,
604,Mount Pleasant Mansion,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,1959.95188785,0.04499448,19121, , ,,19Dec2012,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Mount Pleasant Mansion
605,Horticultural Center Offices and Greenhouses,Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,Building,Greenhouse\Nursary,Multi-Use Bldg,39909.0027078,0.9161883,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Starr Restaurnat, FP District Office",Horticulture Center
606,Mount Pleasant Maintenance Garage,East Fairmount Park,East Fairmount Park,3780 MT PLEASANT DR,Building,Garage\Maintenance\Storage Bldg,Historic Building,966.67846555,0.02219197,19121, , ,,12Nov2013,Vanessa Miller,PPR,,
607,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Historic House,Historic Building,459.62931306,0.01055168,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
608,Mount Pleasant North Dependency,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,577.5186055,0.01325806,19121, , ,,19Dec2012,Vanessa Miller,PPR,,
609,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Historic House,Historic Building,580.74836649,0.0133322,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
610,Mount Pleasant North Necessary,East Fairmount Park,East Fairmount Park,3800 MT PLEASANT DR,Building,Historic House,Historic Building,137.19810602,0.00314965,19121, , ,,19Dec2012,Vanessa Miller,PPR,,
611,Mann Music Center Restrooms,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Restrooms,,2105.77946269,0.04834224,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
612,Mann Music Center Concession Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Concessions\Retail\Cafe,Historic Building,3058.08782771,0.07020432,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Fredrick R. Mann Music Center, Inc.",
613,Dairy Fields Restrooms,Dairy Fields,Wissahickon Valley Park,3785 MT PLEASANT DR,Building,Restrooms,Historic Building,1138.99905284,0.02614792,19121, , ,,12Nov2013,Vanessa Miller,PPR,,
614,Stokley Playground Building,Stokely Playground,Stokely Playground,3000 EDGEMONT ST,Building,Recreation Bldg,,740.47815824,0.01699911,19134, , ,,12Nov2013,Vanessa Miller,PPR,,
615,Horticultural Center Boiler Room,Horticulture Center,West Fairmount Park,4202 HORTICULTURAL DR,Building,Garage\Maintenance\Storage Bldg,,585.42260883,0.01343951,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
616,South Georges Hill Restrooms,West Fairmount Park,West Fairmount Park,5050 S GEORGES HILL DR,Building,Restrooms,Historic Building,1854.50734808,0.0425738,19131, , ,,19Dec2012,Vanessa Miller,PPR,,
617,Park Trolley Headquarters,West Fairmount Park,West Fairmount Park,4121 HORTICULTURAL DR,Building,Garage\Maintenance\Storage Bldg,,564.71370262,0.01296409,19131, , ,,12Nov2013,Vanessa Miller,PPR,,Park Trolley Headquarters
618,8th & Diamond Playground Building,8th & Diamond Playground,8th & Diamond Playground,2032-62 N 08TH ST,Building,Recreation Bldg,,3627.27263344,0.08327105,19122, , ,,12Nov2013,Vanessa Miller,PPR,,8th & Diamond  
619,Ohio House,West Fairmount Park,West Fairmount Park,1700 BELMONT AVE,Building,Historic House,Historic Building,2294.78183195,0.05268115,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Ohio House
620,Kelly Drive Comfort Station,East Fairmount Park,East Fairmount Park,1701 JOHN B KELLY DR,Building,Restrooms,Historic Building,409.13357368,0.00939245,19121, , ,,12Nov2013,Vanessa Miller,PPR,,
621,Judges Tower,East Fairmount Park,East Fairmount Park,1700 JOHN B KELLY DR,Building,Stage\Stands,,354.18946657,0.0081311,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Judges Tower
622,Monkiewicz Playground Building,Monkiewicz Playground,Monkiewicz Playground,3201 RICHMOND ST,Building,Recreation Bldg,,4538.44104636,0.10418869,19134, , ,,12Nov2013,Vanessa Miller,PPR,,Monkiewicz  
623,Pop's Playground Building,Pop's Playground,Pop's Playground,2150-72 E HUNTINGDON ST,Building,Recreation Bldg,Historic Building,1148.18009567,0.02635869,19125, , ,,12Nov2013,Vanessa Miller,PPR,,
624,Reviewing Stand on Kelly Drive,East Fairmount Park,East Fairmount Park,1700 JOHN B KELLY DR,Building,Stage\Stands,Historic Building,2866.294109,0.06580132,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Reviewing Stand on Kelly Drive
625,Rockland Mansion,East Fairmount Park,East Fairmount Park,3810 MT PLEASANT DR,Building,Historic House,Historic Building,2286.48872128,0.05249077,19121, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Rockland Mansion
626,Cohocksink Recreation Center Building,Cohocksink Recreation Center,Cohocksink Recreation Center,2901 CEDAR ST,Building,Recreation Bldg,,11527.08018409,0.26462641,19134, , ,,12Nov2013,Vanessa Miller,PPR,,Cohocksink  
627,Southern Maintenance Headquarters,West Fairmount Park,West Fairmount Park,4100 MONTGOMERY DR,Building,Garage\Maintenance\Storage Bldg,Historic Building,14790.4852671,0.33954418,19131,Building Maintenance Headquarters, ,,12Nov2013,Vanessa Miller,PPR,,Southern Maintenance Headquarters
628,Belmont Plateau Concession Building & Restrooms,Belmont Plateau,West Fairmount Park,4201 MONTGOMERY DR,Building,Restrooms,Multi-Use Bldg,3660.60976862,0.08403637,19131, , ,,12Nov2013,Vanessa Miller,PPR,,Belmont Plateau
629,Gathers Recreation Center Building,Gathers Recreation Center,Gathers Recreation Center,2501-59 DIAMOND ST,Building,Recreation Bldg,,10002.26869031,0.22962141,19121, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Clara Baldwin,Gathers  
630,Frank Glavin Playground Building,Frank Glavin Playground,Frank Glavin Playground,3267-81 ALMOND ST,Building,Recreation Bldg,,3173.95949608,0.07286438,19134, , ,,12Nov2013,Vanessa Miller,PPR,,Frank Glavin  
631,Ormiston,East Fairmount Park,East Fairmount Park,2000 RESERVOIR DR,Building,Historic House,Historic Building,1982.89663677,0.04552123,19121,Ormiston Mansion, ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Royal Heritage Society of Delaware Valley,Ormiston
632,West River Drive Stables,West Fairmount Park,West Fairmount Park,1802 WEST RIVER DR,Building,Stables,Historic Building,5460.77845343,0.12536272,19131,Belmont Stable, ,,19Dec2012,Vanessa Miller,Lessee/Tenants,"Bill Pickett Riding Academy, Inc.",West River Drive Stables
633,Car Barn,West Fairmount Park,West Fairmount Park,4221 MONTGOMERY DR,Building,Barn,,43925.29034385,1.00838995,19131, , ,,12Nov2013,Vanessa Miller,PPR,,CarBarn
634,Boelson Cottage,West Fairmount Park,West Fairmount Park,1814 WEST RIVER DR,Building,Historic House,Historic Building,751.94044915,0.01726225,19131,Boelson House, ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FP Staff,Boelson Cottage
635,"Carbarn Compound Office, Construction Division HQ",West Fairmount Park,West Fairmount Park,4101 MONTGOMERY DR,Building,Multi-Use Bldg,Multi-Use Bldg,2650.44901125,0.06084618,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
636,Mander Playground Building,Mander Playground,East Fairmount Park,2102 N 33RD ST,Building,Recreation Bldg,,6855.6991094,0.15738582,19132, , ,,12Nov2013,Vanessa Miller,PPR,,Mander Pool
637,Mander Playground Pool Building,Mander Playground,East Fairmount Park,2102 N 33RD ST,Building,Recreation Bldg,,1351.78814586,0.03103291,19132, , ,,12Nov2013,Vanessa Miller,PPR,,Mander Pool
638,Carbarn Compound Offices,West Fairmount Park,West Fairmount Park,4101 MONTGOMERY DR,Building,Multi-Use Bldg,Multi-Use Bldg,1880.52635258,0.04317112,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
639,Belmont Yard Pumping Station,West Fairmount Park,West Fairmount Park, ,Building,Pumping Station,,125.13508011,0.00287272,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
640,Belmont Cottage,West Fairmount Park,West Fairmount Park,2000 BELMONT MANSION DR,Building,Historic House,Historic Building,5586.80791275,0.12825597,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,American Women's Heritage Society,Belmont Cottage
641,Laurel Hill Mansion,East Fairmount Park,East Fairmount Park,7201 N RANDOLPH DR,Building,Historic House,Historic Building,2201.66335535,0.05054344,19121, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Women for Greater Philadelphia,Laurel Hill Mansion
642,Belmont Grove Restrooms,Belmont Grove,West Fairmount Park,BELMONT MANSION DRIVE,Building,Restrooms,,626.70895502,0.01438732,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FP-Special Events,
643,Ridgeland Mansion,West Fairmount Park,West Fairmount Park,4100 CHAMOUNIX DR,Building,Historic House,Historic Building,2505.10754884,0.05750959,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Ridgeland Mansion
644,Ridgeland Mansion Springhouse,West Fairmount Park,West Fairmount Park,4100 CHAMOUNIX DR,Building,Historic House,Historic Building,167.90263609,0.00385453,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
645,Ridgeland Mansion Barn,West Fairmount Park,West Fairmount Park,4100 CHAMOUNIX DR,Building,Barn,Historic Building,1925.60950464,0.04420609,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
646,St Joseph's Boathouse,East Fairmount Park,East Fairmount Park,2200 KELLY DRIVE,Building,Boathouse,,9887.27861888,0.22698159,19121, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,St. Joseph's University - land only,St Joseph's Boathouse
647,Edgeley Fields Refreshment Stand,East Fairmount Park,East Fairmount Park,3501 E EDGELY DR,Building,Concessions\Retail\Cafe,Historic Building,4261.02179027,0.09781999,19121, , ,,12Nov2013,Vanessa Miller,PPR,,Edgeley Fields Refreshment Stand
648,Woodford Chairhouse and Stable,East Fairmount Park,East Fairmount Park,3400 WOODFORD DR,Building,Stables,Historic Building,409.96059201,0.00941144,19132, , ,,19Dec2012,Vanessa Miller,Lessee/Tenants,Naomi Wood Trust,
649,Ridgeland Sheep Barn Shed,West Fairmount Park,West Fairmount Park,4200 CHAMOUNIX DR,Building,Shed,,187.26690038,0.00429907,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
650,Ridgeland Sheep Barn,West Fairmount Park,West Fairmount Park,4200 CHAMOUNIX DR,Building,Barn,,1781.43810955,0.04089636,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,
651,Woodford Mansion,East Fairmount Park,East Fairmount Park,3400 WOODFORD DR,Building,Historic House,Historic Building,2685.89401976,0.06165989,19132, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Naomi Wood Trust,Woodford Mansion
652,Samuel Recreation Center Building,Samuel Recreation Center,Samuel Recreation Center,2501 E TIOGA ST,Building,Recreation Bldg,Historic Building,9847.78706316,0.22607499,19134, , ,,12Nov2013,Vanessa Miller,PPR,,
653,Woodford Caretaker's House,East Fairmount Park,East Fairmount Park,3400 WOODFORD DR,Building,Historic House,Historic Building,461.69744359,0.01059916,19132, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Naomi Wood Trust,Woodford Caretaker's House
654,East Park Canoe House,East Fairmount Park,East Fairmount Park,2400 JOHN B KELLY DR,Building,Historic House,Historic Building,8955.35251701,0.20558743,19121, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,"Temple University, Police",East Park Canoe House
655,Recycling Center Water Shed,West Fairmount Park,West Fairmount Park,3850 FORD RD,Building,Shed,Recycling Center,50.28715912,0.00115444,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
656,District #5 Offices,West Fairmount Park,West Fairmount Park,3850 FORD RD,Building,Multi-Use Bldg,Multi-Use Bldg,5475.84143646,0.12570852,19131, , ,,12Nov2013,Vanessa Miller,PPR,,District 5 Office
657,John C Anderson Cultural Center,John C Anderson Cultural Center,John C Anderson Cultural Center,5323 OVERBROOK AVE,Building,Recreation Bldg,,4949.11223423,0.11361644,19131, , ,,12Nov2013,Vanessa Miller,PPR,,J. Anderson Cultural Center
658,Strawberry Mansion,East Fairmount Park,East Fairmount Park,2450 STRAWBERRY MANSION BRIDGE DR,Building,Historic House,Historic Building,3796.87498604,0.0871646,19132, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Committee of 1926,Strawberry Mansion
659,Cecil B Moore Recreation Center,Cecil B. Moore Recreation Center,Cecil B. Moore Recreation Center,2020-50 W LEHIGH AVE,Building,Recreation Bldg,Historic Building,12299.0685508,0.28234889,19132, , ,,12Nov2013,Vanessa Miller,PPR,,CB Moore 
660,Recycling Center Weigh Station,West Fairmount Park,West Fairmount Park,3850 FORD RD,Building,Weigh Station,Recycling Center,1031.088814,0.02367064,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
661,Recycling Center Office,West Fairmount Park,West Fairmount Park,3850 FORD RD,Building,Multi-Use Bldg,Recycling Center,1078.02213964,0.02474808,19131,, ,,12Nov2013,Vanessa Miller,PPR,,Organic Recycling Center
662,Cricket/Archery Field Shed,Belmont & Edgely Cricket Fields,West Fairmount Park,4105 EDGELY AVE,Building,Shed,,237.21177264,0.00544565,19131, , ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Phila. Area Disc Alliance/Phila. Cricket Club,
663,Cricket/Archery Field Clubhouse,Belmont & Edgely Cricket Fields,West Fairmount Park,4105 EDGELY AVE,Building,Multi-Use Bldg,Historic Building,1958.18622939,0.04495395,19131,Cricket Club House, ,,12Nov2013,Vanessa Miller,Lessee/Tenants,Phila. Area Disc Alliance/Phila. Cricket Club,
664,Franklin Playground Building,Franklin Playground,Franklin Playground,1930 E ELKHART ST,Building,Recreation Bldg,,2150.54069018,0.04936982,19134, , ,,12Nov2013,Vanessa Miller,PPR,,Franklin  
665,Tool House,West Fairmount Park,West Fairmount Park, ,Building,Historic House,Historic Building,258.28068046,0.00592933,19131, , ,,12Nov2013,Vanessa Miller,PPR,,
